churned,id,customer_code,co_name,total_spend
0,1,1826,Hoffman Martinez and Chandler,68567.34
0,2,772,Lee Martin and Escobar,74335.27
0,3,479,Hobbs Mcdaniel and Baker,48746.22
0,4,1692,Williams-Harris,64416.7
0,5,2578,Beck-Snyder,71623.2
0,6,1742,Romero Ltd,70232.26
0,7,1113,Knox and Sons,41159.58
0,8,477,Weber Morrow and Singleton,55440.95
0,9,2650,Snyder Guzman and Archer,46565.56
0,10,2829,Jackson LLC,42407.84
0,11,453,Gibbs-Williams,51725.68
0,12,1212,Torres PLC,65722.64
0,13,1018,Nelson Inc,45052.57
0,14,843,Hebert Group,53722.09
0,15,525,Lee PLC,59328.08
0,16,2746,Parsons Mack and Ramos,71439.96
0,17,377,Durham and Sons,67749.02
0,18,2066,Grant LLC,45592.11
0,19,2277,Mitchell Trevino and Garcia,50786.24
0,20,1229,Nichols-Sanchez,78490.87
0,21,255,Brooks-Lopez,40130.34
0,22,1327,Guerrero Meadows and Williams,79289.47
0,23,1620,Nicholson-Phillips,41576.36
0,24,2038,Underwood-Torres,76842.37
0,25,2779,Ortiz Hughes and Harvey,64200.5
1,26,1070,Chang and Sons,63106.95
0,27,2211,Cummings Erickson and Wilkinson,42364.62
0,28,1489,Edwards-Armstrong,76316.22
0,29,705,Hunter Inc,50546.11
0,30,2619,Dawson Cabrera and Brooks,52057.18
0,31,848,Pacheco LLC,43184.02
0,32,575,Gonzalez and Sons,54620.33
0,33,60,Reynolds-Benjamin,66212.82
0,34,213,Anthony PLC,48879.95
0,35,1778,Warren-Spence,56199.2
0,36,2310,Price Inc,40908.55
0,37,934,Allison Jimenez and Perkins,40796.22
0,38,217,Parker LLC,47640.47
0,39,2803,Silva Munoz and Lee,46582.96
0,40,2315,Cooper Hoover and Sanders,74597.65
0,41,769,Bolton Wolfe and Swanson,68714.95
0,42,2514,Hunter Fields and Scott,46619.19
0,43,2891,Davis-Frye,67980
0,44,1010,Gonzalez Ltd,62607.96
1,45,1759,Burns and Sons,74998.47
0,46,2618,Kaufman Group,53610.7
1,47,233,Davis Parker and Valentine,46058.9
0,48,1299,Marshall White and Vincent,65002.58
0,49,2786,Bailey Walker and Patton,67375.66
0,50,1067,Mann James and Baker,51640.43
0,51,807,Lara-Camacho,62943.75
0,52,872,Smith and Sons,54187.75
0,53,2627,Howard Brown and Anderson,66344.42
0,54,921,Wagner Hobbs and Cummings,52086.01
0,55,658,Burton-Tate,57323.18
0,56,1699,Williams Diaz and Ross,68007.43
0,57,1426,White-Travis,40988.41
0,58,919,Turner-Mckee,59025.1
0,59,1600,Galloway Inc,79248.48
1,60,617,Church Benitez and Bell,59334.47
0,61,138,Clay Ltd,43322.08
0,62,1281,Ford-Carson,62577.52
0,63,1457,Norris-Mckinney,62047.96
0,64,1351,Miller and Sons,52113.89
0,65,1109,Ellis and Sons,79869.91
0,66,1523,Gomez-Hardy,54813.55
0,67,1971,Peters Ltd,51368.92
0,68,307,Ortiz-Wood,57081.59
0,69,1918,Watson-Pittman,72197.83
0,70,1371,Williams-Gonzalez,76352.13
0,71,2144,Snyder-Kent,43804.31
0,72,229,Powell Holmes and Simmons,71677.58
0,73,1314,Stephens Holloway and Smith,68679.65
0,74,738,Massey-Morrow,62350.73
0,75,2473,Horton LLC,65583.26
0,76,2198,Thomas-Oneill,67580.11
0,77,163,Collins Harmon and Brown,77199.57
0,78,970,Wilkerson Jackson and Perry,78647.04
0,79,1242,King James and Carter,70343.78
0,80,1307,Miller Inc,61391.28
0,81,2459,Hudson Watkins and Williams,61518.62
1,82,1669,Williams-Perez,44721.39
0,83,1746,Rush Williams and Smith,46513.9
0,84,1636,Garcia Ellison and Johnson,52785.67
0,85,2902,Smith Campbell and Paul,55190.8
0,86,1623,Robinson-Warner,45235.41
0,87,874,Smith Anderson and Fernandez,40575.16
0,88,2955,Cole Neal and Lopez,78026.3
1,89,1726,Byrd Patterson and Porter,77396.55
0,90,2971,Christensen Inc,74979.14
0,91,1800,Marsh Richards and Erickson,52154.53
0,92,2082,Nicholson Ltd,75572.73
0,93,1407,Gordon and Sons,79637.96
0,94,244,Frederick-Riley,51707.48
0,95,1194,Flores Ltd,70642.93
0,96,1732,Stewart-Clayton,62540.01
0,97,695,Hernandez Gonzalez and Mcdaniel,71677.69
1,98,1396,Bailey Inc,78170.43
0,99,1816,Grimes Perez and Dickerson,46913.57
0,100,437,Bradley Roberts and Pham,41168.84
0,101,188,Hamilton Martinez and Wilson,43803.28
0,102,285,Sheppard and Sons,62993.61
0,103,1662,Norris Young and Wallace,43884.31
0,104,1486,Richardson-Webb,69044.91
0,105,1233,Simpson-Archer,40537.23
0,106,2858,Freeman Brooks and Davies,43829.38
1,107,75,Cox-Hines,72149.71
0,108,1474,Smith Powell and Thompson,73650.57
0,109,2647,Lang Inc,57016.41
0,110,2548,Powell LLC,78761.54
0,111,2283,Griffin Hall and Simmons,41342.6
0,112,2449,Hoffman-Gregory,71166.68
0,113,2621,Taylor Davis and Brown,51672.52
0,114,1795,Moore Inc,53805.74
0,115,977,Rodriguez-Blankenship,73834.21
0,116,856,Walker-Wood,53179.4
0,117,2981,Meadows-Smith,43601.61
0,118,443,Moore-Carter,75604.7
0,119,2607,Dennis Sanders and Farmer,72390.34
0,120,1633,Washington Edwards and Rhodes,58136.82
0,121,632,Farmer Fernandez and Gibson,63897.46
1,122,2816,Carter-Jenkins,56674.39
0,123,2915,Moore Cox and Colon,55472.86
1,124,2512,Powell and Sons,70430.2
0,125,2125,Mosley Chang and Shannon,56414.38
0,126,29,Gay Moore and Fisher,69413.72
0,127,419,Le Group,59479.13
0,128,2667,Johnson Ltd,78594.6
0,129,313,Osborne Group,65040.18
0,130,944,Grimes-Snyder,65441.56
0,131,1084,Hull Benjamin and Lindsey,43482.3
0,132,168,Blanchard Kennedy and Rivers,72837.97
0,133,2019,Spencer Dunn and Becker,71116.85
0,134,1490,Mejia Williams and Scott,79353.98
0,135,2533,Simon LLC,78295.33
0,136,673,Friedman Powell and Davis,61803.04
0,137,2691,Elliott Group,44117.28
0,138,1032,Hernandez Ltd,45554.27
0,139,1613,Espinoza Doyle and Fox,46027.46
0,140,2176,Bryant Lewis and Olson,73978.36
0,141,2492,Allen Murray and Pena,45935.93
0,142,2741,Payne Woods and Davis,50089.17
1,143,2027,Ramos Taylor and Adams,71144.68
0,144,1446,Wheeler Khan and Salazar,68820.05
0,145,461,Thompson Neal and Cross,57703.76
0,146,1974,Martin-Hawkins,60762.68
0,147,2756,Stafford Inc,79116.42
0,148,2787,Thomas-Hernandez,76897.46
0,149,2998,Lee PLC,61906.36
0,150,1336,Ortiz Frazier and Zavala,54444.71
0,151,1836,Mendoza Ltd,68599.72
0,152,1743,Miller LLC,46951.03
0,153,421,Castillo Mcmahon and Gonzalez,62382.07
0,154,1782,Moreno PLC,44743.51
0,155,439,Wagner-Richardson,41139.71
0,156,735,Nguyen Morton and Chapman,53425.74
0,157,1287,Patel LLC,58854.6
0,158,2166,Brown-Moore,69700.3
0,159,698,Johns Cooper and Rose,77644.2
0,160,2934,Burns Grant and Wright,56383.34
0,161,1530,Shepherd-Miles,74281.66
0,162,1625,Mccarthy-Dalton,52768.7
0,163,915,Guzman-Daniels,47939.06
0,164,2455,Young-Smith,77753.25
0,165,2029,Collins Matthews and Hutchinson,41704.16
0,166,614,Zimmerman-Newman,52842.95
0,167,2615,Martinez-Reyes,57525.4
0,168,164,Thomas LLC,58131.42
0,169,2660,Brock Riley and Rivers,59159.89
0,170,526,Evans-Gill,44721.65
0,171,550,Moreno Doyle and Thomas,71394.97
0,172,2763,Martin-Roberts,64651.18
0,173,1601,Castillo Wood and Collier,55772.01
0,174,2636,Morgan-Gutierrez,77320.51
0,175,1683,Sanders Crawford and Callahan,65437.51
0,176,604,Robinson-Elliott,77433.28
0,177,902,Harris Group,66534.88
0,178,1984,Wilson Inc,63496.42
0,179,1040,Wright PLC,72125.39
0,180,472,Combs-Bauer,54351.83
0,181,660,Stewart-Delgado,70971.58
0,182,1602,Kaufman-Hopkins,73578.4
0,183,2558,Smith Williams and Young,49610.84
0,184,1286,Barnett LLC,75993.43
0,185,332,Solomon Bowers and Sanchez,77343.13
0,186,1772,Robertson LLC,59984.05
0,187,1146,Sims Tanner and Austin,73555.85
0,188,2570,Morris-Shields,50087.12
0,189,2804,Martin Group,65100.95
0,190,1555,Martinez Shaw and Anderson,60847.25
0,191,1115,Kirk and Sons,58376.48
0,192,1557,Murphy-Lambert,72678.86
0,193,2372,Young Group,60394.92
0,194,132,Lewis-Maldonado,65942.97
0,195,117,Fischer-Nunez,46195.07
0,196,2160,Kelley-Smith,55343.03
0,197,2041,Le Collier and Mahoney,60458.21
0,198,1588,Roberts-Carter,54585.01
0,199,1667,Butler LLC,57381.39
0,200,452,Lopez Anderson and Rivera,71307.25
0,201,424,Schneider PLC,69801.1
0,202,113,Lewis-Mathis,57272.59
0,203,798,Franklin-Weber,78007.93
0,204,993,Mathis Group,59236.24
0,205,25,Clayton Lane and Randolph,46806.44
0,206,2504,Vasquez-Edwards,49016.6
0,207,2757,Guzman and Sons,74537.74
0,208,740,Davis Carter and Pena,65234.1
0,209,2377,Browning PLC,75057.21
0,210,2594,Smith Scott and Boyd,79794.43
0,211,978,Miller Matthews and Riley,53348.27
0,212,2336,Craig Inc,41710.95
0,213,1670,Hill-Hurst,79009.37
0,214,131,Valdez Ltd,69437.63
0,215,1075,Gomez-Parker,64839.51
0,216,1218,Olsen Inc,53615.93
1,217,566,Nolan Garcia and Gutierrez,52427.7
0,218,2348,Cantu-Sanchez,57157.07
0,219,1128,Brown-Nichols,62125.01
1,220,2732,Cook-Boone,63987.93
0,221,1359,Ruiz LLC,45930.53
0,222,1517,Meyer and Sons,49191.17
0,223,240,White-Quinn,59374.58
0,224,2916,Thompson-Harris,40259.43
1,225,1988,Jackson Johnson and Perez,74418.04
0,226,52,Huber-Porter,67761.11
0,227,968,Arellano-Fuller,70916.64
0,228,1488,Townsend King and Hale,70840.94
0,229,47,Jones-Smith,71226.17
0,230,2697,Gentry PLC,51311.05
0,231,1673,Dean Paul and Gould,74972.87
0,232,205,Torres LLC,65849.62
0,233,1376,Cole Wong and Scott,72658.02
0,234,1963,Howe-Navarro,56001.71
0,235,1762,Sanders LLC,73474.62
0,236,1917,Smith Martin and Cole,61258.12
0,237,22,Cameron-Hickman,41712.35
0,238,650,Moody Ltd,72622.8
